服务器id,玩家uid,操作项目,次数,总银币
294,308316666,普通洗练,14,64200
294,308316824,普通洗练,3,19500
294,308318041,普通洗练,35,136500
294,308318537,普通洗练,13,84500
294,308319364,普通洗练,9,35100
294,308320423,普通洗练,22,143000
294,308320454,普通洗练,26,114400
294,308320594,普通洗练,28,174200
294,308321171,普通洗练,6,23400
294,308322270,普通洗练,11,42900
294,308322300,普通洗练,11,42900
294,308322602,普通洗练,45,196300
294,308322751,普通洗练,26,101400
294,308323030,普通洗练,51,269100
294,308323222,普通洗练,16,62400
294,308323640,普通洗练,67,336700
294,308323684,普通洗练,8,31200
294,308324267,普通洗练,8,31200
294,308324324,普通洗练,6,23400
294,308324348,普通洗练,16,62400
294,308324534,普通洗练,15,58500
294,308324747,普通洗练,4,15600
294,308324976,普通洗练,2,7800
294,308325054,普通洗练,3,11700
服务器id,玩家uid,操作项目,次数,总银币
290,304087057,普通洗练,12,46800
290,304087106,普通洗练,1,6500
290,304087225,普通洗练,1,10400
290,304087548,普通洗练,7,27300
290,304087593,普通洗练,30,117000
290,304087950,普通洗练,11,114400
290,304088874,普通洗练,26,169000
290,304091256,普通洗练,3,19500
290,304093079,普通洗练,97,378300
290,304098495,普通洗练,7,29900
290,304099479,普通洗练,23,149500
290,304100899,普通洗练,5,32500
290,304102495,普通洗练,34,213200
290,304104959,普通洗练,26,169000
290,304108258,普通洗练,9,58500
290,304116476,普通洗练,2,7800
290,304117403,普通洗练,102,397800
290,304119267,普通洗练,4,15600
290,304119754,普通洗练,96,624000
290,304123173,普通洗练,1,3500
290,304124742,普通洗练,6,39000
290,304125208,普通洗练,2,13000
290,304134141,普通洗练,6,23400
290,304134510,普通洗练,10,39000
290,304135557,普通洗练,31,120900
290,304136300,普通洗练,24,93600
290,304136776,普通洗练,4,15600
290,304136824,普通洗练,18,101400
290,304137169,普通洗练,9,58500
290,304139589,普通洗练,6,23400
290,304140136,普通洗练,87,904800
290,304142661,普通洗练,127,495300
290,304142712,普通洗练,12,67600
290,304144642,普通洗练,24,156000
290,304146142,普通洗练,19,123500
